Country,Year,Visitors
China,2019,1438670
NewZealand,2019,1433770
United States of America,2019,817990
Japan,2019,498640
Singapore,2019,478500
China,2020,207690
NewZealand,2020,242440
United States of America,2020,188680
Japan,2020,91720
Singapore,2020,58320
China,2021,6550
NewZealand,2021,96760
United States of America,2021,16760
Japan,2021,1870
Singapore,2021,15830
China,2022,89250
NewZealand,2022,697630
United States of America,2022,326030
Japan,2022,79390
Singapore,2022,295800
China,2023,535790
NewZealand,2023,1272140
United States of America,2023,659740
Japan,2023,297720
Singapore,2023,364010
China,2024,891550
NewZealand,2024,1392960
United States of America,2024,7123780
Japan,2024,397330
Singapore,2024,417900
