State,Quarter,Spend ($M)
New South Wales,March quarter 2019,5300
Victoria,March quarter 2019,3871
Queensland,March quarter 2019,3617
South Australia,March quarter 2019,1090
Western Australia,March quarter 2019,1610
Tasmania,March quarter 2019,594
Northern Territory,March quarter 2019,85
ACT,March quarter 2019,343
New South Wales,June quarter 2019,4715
Victoria,June quarter 2019,3306
Queensland,June quarter 2019,3338
South Australia,June quarter 2019,800
Western Australia,June quarter 2019,1413
Tasmania,June quarter 2019,438
Northern Territory,June quarter 2019,198
ACT,June quarter 2019,319
New South Wales,September quarter 2019,4958
Victoria,September quarter 2019,3676
Queensland,September quarter 2019,3664
South Australia,September quarter 2019,762
Western Australia,September quarter 2019,1471
Tasmania,September quarter 2019,397
Northern Territory,September quarter 2019,207
ACT,September quarter 2019,380
New South Wales,December quarter 2019,5133
Victoria,December quarter 2019,3919
Queensland,December quarter 2019,3700
South Australia,December quarter 2019,1015
Western Australia,December quarter 2019,1524
Tasmania,December quarter 2019,586
Northern Territory,December quarter 2019,128
ACT,December quarter 2019,202
New South Wales,March quarter 2020,4870
Victoria,March quarter 2020,3997
Queensland,March quarter 2020,3956
South Australia,March quarter 2020,1101
Western Australia,March quarter 2020,1865
Tasmania,March quarter 2020,618
Northern Territory,March quarter 2020,95
ACT,March quarter 2020,292
New South Wales,June quarter 2020,1408
Victoria,June quarter 2020,731
Queensland,June quarter 2020,957
South Australia,June quarter 2020,266
Western Australia,June quarter 2020,427
Tasmania,June quarter 2020,46
Northern Territory,June quarter 2020,27
ACT,June quarter 2020,66
New South Wales,September quarter 2020,3206
Victoria,September quarter 2020,648
Queensland,September quarter 2020,2574
South Australia,September quarter 2020,483
Western Australia,September quarter 2020,1437
Tasmania,September quarter 2020,163
Northern Territory,September quarter 2020,66
ACT,September quarter 2020,240
New South Wales,December quarter 2020,4681
Victoria,December quarter 2020,1870
Queensland,December quarter 2020,3505
South Australia,December quarter 2020,778
Western Australia,December quarter 2020,1599
Tasmania,December quarter 2020,335
Northern Territory,December quarter 2020,109
ACT,December quarter 2020,238
New South Wales,March quarter 2021,4911
Victoria,March quarter 2021,3358
Queensland,March quarter 2021,4015
South Australia,March quarter 2021,1100
Western Australia,March quarter 2021,1745
Tasmania,March quarter 2021,601
Northern Territory,March quarter 2021,132
