State,Type,Year,Spend ($M)
New South Wales,Domestic,2019,20106
Victoria,Domestic,2019,14771
Queensland,Domestic,2019,14319
South Australia,Domestic,2019,3668
Western Australia,Domestic,2019,6017
Tasmania,Domestic,2019,2015
Northern Territory,Domestic,2019,619
ACT,Domestic,2019,1244
New South Wales,Domestic,2020,14165
Victoria,Domestic,2020,7246
Queensland,Domestic,2020,10993
South Australia,Domestic,2020,2628
Western Australia,Domestic,2020,5329
Tasmania,Domestic,2020,1162
Northern Territory,Domestic,2020,297
ACT,Domestic,2020,836
New South Wales,Domestic,2021,15052
Victoria,Domestic,2021,10490
Queensland,Domestic,2021,15421
South Australia,Domestic,2021,4119
Western Australia,Domestic,2021,7552
Tasmania,Domestic,2021,2082
Northern Territory,Domestic,2021,640
ACT,Domestic,2021,778
New South Wales,Domestic,2022,27394
Victoria,Domestic,2022,20157
Queensland,Domestic,2022,23292
South Australia,Domestic,2022,5239
Western Australia,Domestic,2022,9241
Tasmania,Domestic,2022,2968
Northern Territory,Domestic,2022,979
ACT,Domestic,2022,1586
New South Wales,Domestic,2023,28780
Victoria,Domestic,2023,21087
Queensland,Domestic,2023,25191
South Australia,Domestic,2023,5862
Western Australia,Domestic,2023,10279
Tasmania,Domestic,2023,3196
Northern Territory,Domestic,2023,1000
ACT,Domestic,2023,1643
New South Wales,Domestic,2024,28906
Victoria,Domestic,2024,22531
Queensland,Domestic,2024,25135
South Australia,Domestic,2024,6064
Western Australia,Domestic,2024,9790
Tasmania,Domestic,2024,3122
Northern Territory,Domestic,2024,1016
ACT,Domestic,2024,2147
New South Wales,International,2019,11381
Victoria,International,2019,8826
Queensland,International,2019,6083
South Australia,International,2019,1206
Western Australia,International,2019,2385
Tasmania,International,2019,555
Northern Territory,International,2019,437
ACT,International,2019,565
New South Wales,International,2020,2716
Victoria,International,2020,2466
Queensland,International,2020,1411
South Australia,International,2020,280
Western Australia,International,2020,552
Tasmania,International,2020,174
Northern Territory,International,2020,72
ACT,International,2020,111
New South Wales,International,2021,634
Victoria,International,2021,386
Queensland,International,2021,213
South Australia,International,2021,49
Western Australia,International,2021,82
Tasmania,International,2021,33
Northern Territory,International,2021,29
ACT,International,2021,22
New South Wales,International,2022,5003
Victoria,International,2022,3286
Queensland,International,2022,2299
South Australia,International,2022,519
Western Australia,International,2022,1053
Tasmania,International,2022,153
Northern Territory,International,2022,181
ACT,International,2022,246
New South Wales,International,2023,10866
Victoria,International,2023,6398
Queensland,International,2023,5861
South Australia,International,2023,1314
Western Australia,International,2023,2336
Tasmania,International,2023,373
Northern Territory,International,2023,460
ACT,International,2023,495
New South Wales,International,2024,12026
Victoria,International,2024,9046
Queensland,International,2024,6221
South Australia,International,2024,1348
Western Australia,International,2024,2625
Tasmania,International,2024,551
Northern Territory,International,2024,468
ACT,International,2024,627
