State,year,spending
New South Wales,2019,11381
Victoria,2019,8826
Queensland,2019,6083
South Australia,2019,1206
Western Australia,2019,2385
Tasmania,2019,555
Northern Territory,2019,437
ACT,2019,565
New South Wales,2020,2716
Victoria,2020,2466
Queensland,2020,1411
South Australia,2020,280
Western Australia,2020,552
Tasmania,2020,174
Northern Territory,2020,72
ACT,2020,111
New South Wales,2021,634
Victoria,2021,386
Queensland,2021,213
South Australia,2021,49
Western Australia,2021,82
Tasmania,2021,33
Northern Territory,2021,29
ACT,2021,22
New South Wales,2022,5003
Victoria,2022,3286
Queensland,2022,2299
South Australia,2022,519
Western Australia,2022,1053
Tasmania,2022,153
Northern Territory,2022,181
ACT,2022,246
New South Wales,2023,10866
Victoria,2023,6398
Queensland,2023,5861
South Australia,2023,1314
Western Australia,2023,2336
Tasmania,2023,373
Northern Territory,2023,460
ACT,2023,495
New South Wales,2024,12026
Victoria,2024,9046
Queensland,2024,6221
South Australia,2024,1348
Western Australia,2024,2625
Tasmania,2024,551
Northern Territory,2024,468
ACT,2024,627
