Year,Reason,Type,Value
2019,Holiday,Visitors,4008
2019,Visiting friends and relatives,Visitors,2612
2019,Business,Visitors,1013
2019,Employment,Visitors,212
2019,Education,Visitors,594
2019,Other reason,Visitors,269
2019,Holiday,Spend,17240
2019,Visiting friends and relatives,Spend,7575
2019,Business,Spend,4057
2019,Employment,Spend,2124
2019,Education,Spend,13347
2019,Other reason,Spend,1038
2020,Holiday,Visitors,720
2020,Visiting friends and relatives,Visitors,514
2020,Business,Visitors,163
2020,Employment,Visitors,66
2020,Education,Visitors,175
2020,Other reason,Visitors,68
2020,Holiday,Spend,3482
2020,Visiting friends and relatives,Spend,1920
2020,Business,Spend,629
2020,Employment,Spend,633
2020,Education,Spend,4059
2020,Other reason,Spend,317
2021,Holiday,Visitors,18793
2021,Visiting friends and relatives,Visitors,131891
2021,Business,Visitors,22762
2021,Employment,Visitors,22715
2021,Education,Visitors,7905
2021,Other reason,Visitors,20070
2021,Holiday,Spend,120
2021,Visiting friends and relatives,Spend,1251
2021,Business,Spend,210
2021,Employment,Spend,383
2021,Education,Spend,217
2021,Other reason,Spend,245
2022,Holiday,Visitors,941299
2022,Visiting friends and relatives,Visitors,1610014
2022,Business,Visitors,408530
2022,Employment,Visitors,136901
2022,Education,Visitors,203630
2022,Other reason,Visitors,114775
2022,Holiday,Spend,4622
2022,Visiting friends and relatives,Spend,6180
2022,Business,Spend,2255
2022,Employment,Spend,1253
2022,Education,Spend,4852
2022,Other reason,Spend,596
2023,Holiday,Visitors,2582
2023,Visiting friends and relatives,Visitors,2441
2023,Business,Visitors,726
2023,Employment,Visitors,250
2023,Education,Visitors,422
2023,Other reason,Visitors,220
2023,Holiday,Spend,14199
2023,Visiting friends and relatives,Spend,9416
2023,Business,Spend,4089
2023,Employment,Spend,2796
2023,Education,Spend,11762
2023,Other reason,Spend,1011
2024,Holiday,Visitors,3239
2024,Visiting friends and relatives,Visitors,2600
2024,Business,Visitors,779
2024,Employment,Visitors,309
2024,Education,Visitors,486
2024,Other reason,Visitors,221
2024,Holiday,Spend,17899
2024,Visiting friends and relatives,Spend,9659
2024,Business,Spend,3816
2024,Employment,Spend,4014
2024,Education,Spend,12751
2024,Other reason,Spend,734
