state,year,trips_total
New South Wales,2024,39380439
Victoria,2024,31287991
Queensland,2024,25902081
South Australia,2024,7898007
Western Australia,2024,9729545
Tasmania,2024,2986155
Northern Territory,2024,843943
Australian Capital Territory,2024,2244293
New South Wales,2019,21738982
Victoria,2019,17127321
Queensland,2019,17238807
South Australia,2019,4654017
Western Australia,2019,6229536
Tasmania,2019,2229350
Northern Territory,2019,611320
Australian Capital Territory,2019,1907893
New South Wales,2020,15344493
Victoria,2020,8417874
Queensland,2020,13260160
South Australia,2020,3340598
Western Australia,2020,5527463
Tasmania,2020,1287932
Northern Territory,2020,293977
Australian Capital Territory,2020,1285845
New South Wales,2021,16271876
Victoria,2021,12161265
Queensland,2021,18551963
South Australia,2021,5225833
Western Australia,2021,7816999
Tasmania,2021,2303629
Northern Territory,2021,631690
Australian Capital Territory,2021,1194103
New South Wales,2022,29597465
Victoria,2022,23355208
Queensland,2022,28021386
South Australia,2022,6643018
Western Australia,2022,9560256
Tasmania,2022,3281783
Northern Territory,2022,966664
Australian Capital Territory,2022,2431146
New South Wales,2023,30796938
Victoria,2023,23989558
Queensland,2023,29603107
South Australia,2023,7206023
Western Australia,2023,10599494
Tasmania,2023,3490722
Northern Territory,2023,989026
Australian Capital Territory,2023,2401162
