Type,year ending 2023,year ending 2024,,
Hotel/resort/motel or motor Inn,"32,865","44,378",,
Guest house or Bed & Breakfast,257,720,,
Rented house/apartment/flat or unit,"85,996","113,664",,
Caravan park or commercial camping ground,"2,220","2,434",,
Backpacker or hostel,"11,287","10,470",,
Other commercial accommodation,"4,055","7,164",,
Own property,"3,404","2,620",,
Friends or relatives property,"83,253","93,219",,
Caravan or camping - non commercial,"1,057","1,173",,
Other Private Accommodation,"8,397","10,557",,
Other Accomodation(b),"10,248","8,541",,
