State,Quarter,Spend ($M)
New South Wales,March quarter 2019,5724545
Victoria,March quarter 2019,4484085
Queensland,March quarter 2019,4349843
South Australia,March quarter 2019,1382351
Western Australia,March quarter 2019,1664801
Tasmania,March quarter 2019,656426
Northern Territory,March quarter 2019,84259
ACT,March quarter 2019,525622
New South Wales,June quarter 2019,5101080
Victoria,June quarter 2019,3834812
Queensland,June quarter 2019,4020195
South Australia,June quarter 2019,1015494
Western Australia,June quarter 2019,1463853
Tasmania,June quarter 2019,485188
Northern Territory,June quarter 2019,196027
ACT,June quarter 2019,489085
New South Wales,September quarter 2019,5355253
Victoria,September quarter 2019,4257928
Queensland,September quarter 2019,4407610
South Australia,September quarter 2019,966432
Western Australia,September quarter 2019,1521269
Tasmania,September quarter 2019,438431
Northern Territory,September quarter 2019,204333
ACT,September quarter 2019,582340
New South Wales,December quarter 2019,5558104
Victoria,December quarter 2019,4550496
Queensland,December quarter 2019,4461159
South Australia,December quarter 2019,1289740
Western Australia,December quarter 2019,1579613
Tasmania,December quarter 2019,649305
Northern Territory,December quarter 2019,126701
ACT,December quarter 2019,310846
New South Wales,March quarter 2020,5256784
Victoria,March quarter 2020,4635262
Queensland,March quarter 2020,4757584
South Australia,March quarter 2020,1394930
Western Australia,March quarter 2020,1927724
Tasmania,March quarter 2020,683136
Northern Territory,March quarter 2020,93932
ACT,March quarter 2020,447676
New South Wales,June quarter 2020,1524693
Victoria,June quarter 2020,851030
Queensland,June quarter 2020,1154401
South Australia,June quarter 2020,338499
Western Australia,June quarter 2020,443130
Tasmania,June quarter 2020,51039
Northern Territory,June quarter 2020,26700
ACT,June quarter 2020,101916
New South Wales,September quarter 2020,3482289
Victoria,September quarter 2020,757013
Queensland,September quarter 2020,3112703
South Australia,September quarter 2020,616082
Western Australia,September quarter 2020,1494167
Tasmania,September quarter 2020,181259
Northern Territory,September quarter 2020,65516
ACT,September quarter 2020,370374
New South Wales,December quarter 2020,5080727
Victoria,December quarter 2020,2174569
Queensland,December quarter 2020,4235472
South Australia,December quarter 2020,991087
Western Australia,December quarter 2020,1662442
Tasmania,December quarter 2020,372498
Northern Territory,December quarter 2020,107829
ACT,December quarter 2020,365879
New South Wales,March quarter 2021,5309003
Victoria,March quarter 2021,3892855
Queensland,March quarter 2021,4832739
South Australia,March quarter 2021,1394951
Western Australia,March quarter 2021,1806320
Tasmania,March quarter 2021,665107
Northern Territory,March quarter 2021,130210
ACT,March quarter 2021,392428
New South Wales,June quarter 2021,5995964
Victoria,June quarter 2021,3615938
Queensland,June quarter 2021,5732997
South Australia,June quarter 2021,1622376
Western Australia,June quarter 2021,1822204
Tasmania,June quarter 2021,720668
Northern Territory,June quarter 2021,219648
ACT,June quarter 2021,538070
New South Wales,September quarter 2021,1127022
Victoria,September quarter 2021,1668627
Queensland,September quarter 2021,3597813
South Australia,September quarter 2021,906630
Western Australia,September quarter 2021,1908556
